Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Middle East & North Africa,315122478.0,321163368.0,327207928.0,333373436.0,339823622.0,346657300.0,353917337.0,361549578.0,369452647.0,377485338.0,385417024.0,393274154.0,401032763.0,408731939.0,416401841.0,424065257.0
Middle East & North Africa (excluding high income),278580533.0,283534356.0,288454626.0,293390641.0,298427213.0,303621727.0,308994950.0,314531268.0,320229174.0,326041106.0,331928764.0,337908291.0,343940245.0,350056720.0,356262920.0,362560941.0
Middle income,4616910200.0,4677894009.0,4737543273.0,4797015441.0,4856325228.0,4915611294.0,4974619744.0,5033182559.0,5092209376.0,5152010011.0,5212280503.0,5273188611.0,5334560736.0,5396516034.0,5458860818.0,5521156908.0
North America,312993944.0,316113359.0,319050105.0,321847258.0,324864038.0,327892753.0,331014940.0,334184023.0,337405012.0,340465736.0,343417261.0,346126201.0,348918897.0,351647895.0,354516198.0,357335829.0
Not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,1157260608.0,1165754980.0,1174149916.0,1182447832.0,1190808908.0,1199201044.0,1207946461.0,1216989289.0,1226520017.0,1235310457.0,1243550244.0,1251605332.0,1258042183.0,1267816127.0,1274981875.0,1282975040.0
Other small states,20898841.0,21267515.0,21630779.0,22012962.0,22437930.0,22912669.0,23463471.0,24080704.0,24732235.0,25360267.0,25965594.0,26564437.0,27109032.0,27632006.0,28142985.0,28650005.0
Pacific island small states,1963761.0,1985179.0,2005803.0,2026433.0,2048118.0,2071588.0,2097182.0,2124650.0,2153399.0,2182547.0,2211421.0,2239849.0,2267982.0,2295834.0,2323513.0,2351091.0
Small states,29317318.0,29750155.0,30169143.0,30606605.0,31089066.0,31625173.0,32241884.0,32928941.0,33652912.0,34354027.0,35031584.0,35700983.0,36314122.0,36903594.0,37479355.0,38050062.0
South Asia,1385959570.0,1411288216.0,1436527869.0,1461601023.0,1486402311.0,1510864613.0,1534949611.0,1558685624.0,1582147481.0,1605443788.0,1628688562.0,1651888921.0,1675019307.0,1698093032.0,1721152580.0,1744161298.0
Sub-Saharan Africa,667742098.0,685795280.0,704004105.0,722832202.0,742309449.0,762476790.0,783357641.0,804950450.0,827239671.0,850190286.0,873780170.0,897998530.0,922855109.0,948322378.0,974371891.0,1000980981.0
Sub-Saharan Africa (excluding high income),667660967.0,685714078.0,703920405.0,722749402.0,742226949.0,762393890.0,783273041.0,804865417.0,827152715.0,850102988.0,873690400.0,897911089.0,922766806.0,948232478.0,974280491.0,1000888081.0
Upper middle income,2304421224.0,2325081408.0,2344483227.0,2363610029.0,2382469218.0,2401263262.0,2419694831.0,2437537213.0,2455687412.0,2474451138.0,2493277491.0,2512626574.0,2532680867.0,2553111667.0,2573612474.0,2593742810.0
World,6115444311.0,6195589560.0,6274734084.0,6353976427.0,6433748714.0,6513959904.0,6594722462.0,6675832678.0,6758302523.0,6840955706.0,6923684085.0,7006907989.0,7089451551.0,7176092192.0,7260780278.0,7346633037.0
